id,Date,Model
571,3/19/2019,Flint
572,3/24/2019,Flash
573,2/3/2019,Flare
574,2/24/2019,Flash
575,1/10/2019,Flash
576,1/9/2019,Flare
577,1/12/2019,Flare
578,3/16/2019,Flint
579,1/29/2019,Flash
580,1/19/2019,Flash
581,2/21/2019,Flare
582,1/29/2019,Flash
583,3/26/2019,Flash
584,2/25/2019,Flint
585,3/6/2019,Flash
586,2/9/2019,Flare
587,3/7/2019,Flare
588,3/28/2019,Flint
589,1/6/2019,Flint
590,2/1/2019,Flare
591,2/15/2019,Flare
592,2/15/2019,Flare
593,3/28/2019,Flare
594,1/27/2019,Flint
595,3/24/2019,Flash
596,2/12/2019,Flint
597,1/22/2019,Flint
598,1/15/2019,Flare
599,3/15/2019,Flare
600,1/2/2019,Flash
601,2/27/2019,Flare
602,2/16/2019,Flint
603,3/10/2019,Flint
604,2/27/2019,Flint
605,1/9/2019,Flint
606,3/30/2019,Flare
607,3/15/2019,Flint
608,3/26/2019,Flash
609,3/24/2019,Flash
610,1/23/2019,Flash
611,2/6/2019,Flash
612,1/1/2019,Flare
613,3/8/2019,Flint
614,3/28/2019,Flare
615,2/15/2019,Flash
616,3/12/2019,Flash
617,1/28/2019,Flare
618,1/13/2019,Flash
619,3/7/2019,Flare
620,1/22/2019,Flint
621,2/11/2019,Flash
622,1/21/2019,Flint
623,3/3/2019,Flash
624,2/11/2019,Flint
625,3/30/2019,Flint
626,1/2/2019,Flash
627,1/6/2019,Flint
628,3/18/2019,Flare
629,2/11/2019,Flare
630,1/25/2019,Flash
631,2/12/2019,Flash
632,2/24/2019,Flash
633,1/13/2019,Flash
634,2/4/2019,Flare
635,1/3/2019,Flint
636,2/11/2019,Flash
637,3/30/2019,Flint
638,3/4/2019,Flint
639,3/18/2019,Flash
640,3/15/2019,Flint
641,1/22/2019,Flash
642,1/11/2019,Flare
643,3/19/2019,Flint
644,2/21/2019,Flint
645,2/2/2019,Flint
646,1/20/2019,Flash
647,1/4/2019,Flash
648,3/9/2019,Flare
649,3/15/2019,Flare
650,3/1/2019,Flint
651,3/6/2019,Flint
652,2/11/2019,Flare
653,3/27/2019,Flash
654,1/8/2019,Flash
655,3/13/2019,Flash
656,3/12/2019,Flare
657,3/2/2019,Flint
658,3/5/2019,Flash
659,2/12/2019,Flash
660,1/19/2019,Flint
661,1/27/2019,Flare
662,3/18/2019,Flash
663,3/15/2019,Flash
664,1/17/2019,Flare
665,2/21/2019,Flash
666,3/2/2019,Flare
667,1/19/2019,Flint
668,1/1/2019,Flash
669,2/21/2019,Flare
670,1/15/2019,Flare
671,2/13/2019,Flare
672,1/1/2019,Flint
673,3/24/2019,Flash
674,2/24/2019,Flare
675,1/9/2019,Flash
676,2/27/2019,Flash
677,3/22/2019,Flint
678,1/4/2019,Flash
679,1/9/2019,Flash
680,2/7/2019,Flint
681,3/15/2019,Flash
682,2/20/2019,Flint
683,1/18/2019,Flare
684,2/22/2019,Flash
685,1/23/2019,Flare
686,1/31/2019,Flint
687,1/16/2019,Flint
688,1/23/2019,Flash
689,3/17/2019,Flash
690,1/11/2019,Flash
691,3/18/2019,Flare
692,1/9/2019,Flash
693,2/25/2019,Flint
694,2/27/2019,Flint
695,2/26/2019,Flash
696,3/14/2019,Flare
697,3/7/2019,Flash
698,3/15/2019,Flash
699,2/3/2019,Flash
700,3/13/2019,Flare
701,2/11/2019,Flash
702,2/7/2019,Flash
703,2/11/2019,Flash
704,3/8/2019,Flint
705,3/22/2019,Flash
706,2/19/2019,Flash
707,2/15/2019,Flint
708,1/5/2019,Flash
709,2/12/2019,Flash
710,2/2/2019,Flash
711,2/28/2019,Flare
712,1/16/2019,Flint
713,1/7/2019,Flare
714,2/4/2019,Flare
715,2/18/2019,Flash
716,2/14/2019,Flare
717,3/28/2019,Flint
718,2/2/2019,Flint
719,1/2/2019,Flint
720,1/20/2019,Flint
721,2/14/2019,Flint
722,3/20/2019,Flash
723,1/12/2019,Flash
724,3/25/2019,Flint
725,1/21/2019,Flare
726,2/10/2019,Flash
727,2/22/2019,Flint
728,3/6/2019,Flare
729,2/1/2019,Flint
730,1/5/2019,Flare
731,1/7/2019,Flash
732,2/24/2019,Flint
733,2/26/2019,Flare
734,3/26/2019,Flint
735,1/31/2019,Flint
736,1/29/2019,Flash
737,2/7/2019,Flash
738,1/11/2019,Flare
739,2/23/2019,Flare
740,3/17/2019,Flint
741,2/11/2019,Flare
742,1/22/2019,Flare
743,2/7/2019,Flint
744,1/6/2019,Flash
745,3/16/2019,Flash
746,1/4/2019,Flare
747,1/25/2019,Flare
748,3/13/2019,Flint
749,1/11/2019,Flash
750,3/16/2019,Flash
751,1/22/2019,Flint
752,1/7/2019,Flash
753,1/24/2019,Flint
754,3/13/2019,Flint
755,3/21/2019,Flash
756,2/18/2019,Flare
757,3/3/2019,Flash
758,1/6/2019,Flint
759,1/8/2019,Flare
760,3/23/2019,Flash
761,1/15/2019,Flash
762,1/5/2019,Flare
763,3/20/2019,Flint
764,3/22/2019,Flint
765,2/1/2019,Flint
766,1/17/2019,Flint
767,1/2/2019,Flare
768,1/6/2019,Flare
769,3/3/2019,Flint
770,3/2/2019,Flare
771,3/1/2019,Flash
772,3/4/2019,Flint
773,1/18/2019,Flint
774,3/6/2019,Flash
775,3/20/2019,Flint
776,2/4/2019,Flash
777,1/16/2019,Flare
778,3/20/2019,Flash
779,1/26/2019,Flash
780,2/25/2019,Flint
781,2/13/2019,Flash
782,3/12/2019,Flash
783,1/24/2019,Flash
784,3/18/2019,Flare
785,2/24/2019,Flint
786,3/6/2019,Flint
787,3/29/2019,Flint
788,1/15/2019,Flint
789,3/23/2019,Flare
790,3/21/2019,Flash
791,3/8/2019,Flint
792,3/14/2019,Flash
793,1/24/2019,Flint
794,2/1/2019,Flint
795,1/18/2019,Flint
796,1/20/2019,Flint
797,2/5/2019,Flint
798,2/11/2019,Flint
799,1/12/2019,Flare
800,2/25/2019,Flint
